loading policy + frozen prior...
config: {'steps': 5000, 'batch': 128, 'lr': 0.0001, 'max_len': 100, 'temp': 1.0, 'beta_kl': 0.02, 'target_kl': 3.0, 'beta_kl_min': 0.001, 'beta_kl_max': 20.0, 'kl_adapt_factor': 1.5, 'ppo_epochs': 4, 'clip_eps': 0.2, 'lambda_unc': 1.0, 'baseline_momentum': 0.95, 'threshold_window_batches': 20, 'threshold_percentile': 70.0, 'threshold_update_every': 50, 'threshold_init': 0.0, 'threshold_decay': 0.1, 'diversity_filter': False, 'df_bucket_size': 25, 'df_mode': 'generic', 'df_record_threshold': 0.5, 'replay': True, 'replay_capacity': 1000, 'replay_max_per_scaffold': 10, 'replay_min_reward': 0.4, 'replay_k': 24, 'replay_coef': 0.05, 'replay_start': 200, 'transfer_learning': True, 'tl_every': 500, 'tl_start': 1000, 'tl_epochs': 2, 'tl_batch': 128, 'tl_max_mols': 500, 'tl_min_mols': 50, 'tl_lr': 1e-05, 'tl_max_kl': 8.0, 'log_every': 10, 'save_every': 200, 'out': 'checkpoints/rl_v5c', 'seed': 42}
reward model scheme=A_primary threshold=8.0 lambda_unc=1.0 invalid_reward=-1.0

  step      loss   reward    tau   p_act    unc      kl   beta  valid%  uniq% scaf/uniq  >tau% AD%(top)   buf  bscaf   rnll    sec
   350  -33.3254   -0.169  0.378   0.055  0.209   2.571 20.000    98.4  100.0     0.786    0.0     91.7    58     18  0.561   1.13
   360  -28.7599   -0.161  0.378   0.059  0.221   2.207 20.000   100.0  100.0     0.891    0.0     75.0    58     18  0.576   0.90
   370  -27.6231   -0.166  0.378   0.061  0.227   2.356 13.333   100.0  100.0     0.891    0.0     91.7    59     19  0.508   1.17
   380  -15.8081   -0.167  0.378   0.056  0.216   2.450 13.333    99.2  100.0     0.811    0.0     83.3    59     19  0.566   1.01
   390  -24.5176   -0.166  0.378   0.062  0.228   2.366  5.926   100.0  100.0     0.875    0.0     91.7    59     19  0.471   0.92
   400  -13.4861   -0.164  0.325   0.059  0.223   2.646  5.926   100.0  100.0     0.859    0.0    100.0    59     19  0.507   1.18
      saved checkpoint @ step 400 | examples: ['O=C(NCCc1cccs1)c1ccccc1Br', 'Fc1ccc(-c2nnc(-c3ccccc3)o2)cc1', 'NCCCCNC(=O)c1cc(-c2ccco2)nc2ccccc12', 'CN(C)CCNC(=O)c1ccc(C#N)cc1', 'c1ccc(CCNc2nc(-c3ccccc3)nc3ccccc23)cc1']
   410   -8.2314   -0.166  0.325   0.062  0.229   2.627  5.926   100.0  100.0     0.852    0.0    100.0    59     19  0.472   1.03
   420   -7.3049   -0.179  0.325   0.068  0.239   2.210  5.926    99.2  100.0     0.866    0.0    100.0    59     19  0.454   0.75
   430   -9.2657   -0.166  0.325   0.061  0.227   2.452  2.634   100.0  100.0     0.852    0.0    100.0    59     19  0.459   1.03
   440   -5.1646   -0.165  0.325   0.058  0.215   2.603  2.634    99.2   99.2     0.817    0.0     83.3    59     19  0.456   0.82
   450   -3.3404   -0.165  0.277   0.060  0.225   2.571  2.634   100.0  100.0     0.914    0.0     91.7    59     19  0.429   0.81
   460   -3.0510   -0.168  0.277   0.067  0.235   2.127  2.634   100.0  100.0     0.859    0.0     75.0    59     19  0.383   1.10
   470   -3.6121   -0.168  0.277   0.069  0.236   2.561  1.171   100.0  100.0     0.875    0.0    100.0    59     19  0.394   1.04
   480   -2.3044   -0.168  0.277   0.068  0.236   2.390  1.171   100.0  100.0     0.859    0.0     91.7    59     19  0.398   1.18
   490   -1.5873   -0.166  0.277   0.066  0.232   2.249  1.171   100.0  100.0     0.875    0.0    100.0    59     19  0.355   1.02
   500   -1.8568   -0.172  0.234   0.067  0.239   2.037  0.780   100.0  100.0     0.906    0.0     91.7    59     19  0.369   1.00
   510   -1.4834   -0.159  0.234   0.076  0.235   2.230  0.520   100.0  100.0     0.836    0.8     91.7    59     19  0.337   1.10
   520   -0.9073   -0.177  0.234   0.067  0.237   2.154  0.520    99.2  100.0     0.921    0.0     91.7    59     19  0.328   1.10
   530   -0.8536   -0.164  0.234   0.061  0.225   2.002  0.347   100.0  100.0     0.820    0.0     83.3    59     19  0.292   1.02
   540   -1.0132   -0.172  0.234   0.074  0.246   1.887  0.103   100.0  100.0     0.891    0.0     91.7    59     19  0.262   1.00
   550   -0.7069   -0.183  0.195   0.068  0.235   1.982  0.046    98.4  100.0     0.817    0.0     91.7    59     19  0.310   1.03
   560   -0.4334   -0.164  0.195   0.063  0.219   2.307  0.030    99.2  100.0     0.866    0.8     91.7    59     19  0.350   1.03
   570   -0.2947   -0.173  0.195   0.070  0.242   1.947  0.009   100.0  100.0     0.859    0.0     91.7    59     19  0.253   0.94
   580   -0.1715   -0.176  0.195   0.074  0.234   2.124  0.006    98.4  100.0     0.857    0.8     83.3    60     20  0.302   1.06
   590   -0.0974   -0.169  0.195   0.072  0.241   2.156  0.004   100.0  100.0     0.859    0.0     83.3    61     21  0.302   1.06
   600   -0.0920   -0.169  0.160   0.059  0.220   2.266  0.003    99.2  100.0     0.858    0.0     83.3    61     21  0.242   1.02
      saved checkpoint @ step 600 | examples: ['Cc1ccc(S(=O)(=O)N2CCN(CCO)CC2)cc1', 'CC(=O)N1CCN(C(=O)c2ccccn2)CC1', 'O=C(NCCN1CCc2ccccc21)c1ccco1', 'CCc1ccc(NC(=O)Cn2cc(CN3CCN(c4ccc(F)cc4)CC3)nn2)cc1', 'COc1ccc(/C=C/C(=O)C(=O)c2ccc(Br)cc2)cc1']
   610   -0.0619   -0.152  0.160   0.066  0.219   2.594  0.003   100.0  100.0     0.867    0.8     91.7    62     21  0.266   1.04
   620   -0.0359   -0.153  0.160   0.068  0.221   2.421  0.003   100.0  100.0     0.852    0.8    100.0    62     21  0.241   1.08
   630   -0.0349   -0.140  0.160   0.077  0.216   2.476  0.003   100.0   98.4     0.841    2.3     83.3    65     21  0.237   1.03
   640   -0.0397   -0.121  0.160   0.097  0.217   2.828  0.003   100.0   98.4     0.841    4.7    100.0    67     22  0.224   1.05
   650   -0.1092   -0.051  0.129   0.176  0.228   3.415  0.003   100.0   89.8     0.757   12.5    100.0    71     22  0.219   0.98
   660   -0.1533    0.049  0.129   0.258  0.201   4.206  0.004    99.2   83.5     0.774   22.7    100.0    71     22  0.252   1.00
   670    0.6882    0.303  0.129   0.497  0.194   7.361  0.154   100.0   59.4     0.724   49.2    100.0    71     22  0.228   1.07
   680   64.0014   -0.345  0.129   0.054  0.188  10.164  8.889    78.9  100.0     0.891    0.0     83.3    71     22  0.413   0.93
   690   67.9466   -0.282  0.129   0.059  0.209   8.697 20.000    86.7  100.0     0.838    0.0     83.3    71     22  0.582   1.00
   700  -56.3983   -0.183  0.100   0.063  0.231   2.725  8.889    98.4  100.0     0.849    0.0     91.7    71     22  0.659   1.04
   710  -40.2693   -0.164  0.100   0.062  0.226   2.426  5.926   100.0  100.0     0.781    0.0     91.7    71     22  0.591   0.98
   720  -23.3931   -0.164  0.100   0.063  0.227   2.651  5.926   100.0  100.0     0.789    0.0     91.7    71     22  0.607   0.96
   730   -9.7919   -0.185  0.100   0.063  0.225   3.631  5.926    97.7  100.0     0.816    0.0    100.0    72     23  0.626   0.98
   740   -7.9316   -0.165  0.100   0.065  0.230   2.893  5.926   100.0  100.0     0.820    0.0     83.3    73     24  0.489   1.01
   750   -7.1500   -0.164  0.075   0.062  0.226   2.457  5.926   100.0  100.0     0.797    0.0     83.3    73     24  0.441   1.03
   760   -5.7553   -0.165  0.075   0.062  0.227   2.292  5.926   100.0  100.0     0.859    0.0     83.3    73     24  0.490   0.94
   770   -8.6662   -0.165  0.075   0.064  0.229   2.477  2.634   100.0  100.0     0.836    0.0     83.3    73     24  0.412   0.98
   780   -4.8657   -0.173  0.075   0.059  0.224   2.600  2.634    99.2  100.0     0.827    0.0    100.0    73     24  0.366   1.01
   790   -3.7416   -0.177  0.075   0.062  0.223   2.329  2.634    98.4  100.0     0.833    0.0     91.7    73     24  0.311   1.06
   800   -2.8311   -0.174  0.052   0.060  0.226   2.175  2.634    99.2  100.0     0.858    0.0     91.7    74     24  0.322   1.00
      saved checkpoint @ step 800 | examples: ['Cc1ccccc1C(=O)COC(=O)c1ccc(N2CCCC2)cc1', 'O=C(CNC(=O)c1ccco1)NCc1ccc(Cl)cc1', 'O=C(Nc1ccc(Cl)cc1)Nc1cccc(O)c1', 'Cc1cccc(CNC(=O)NS(=O)(=O)c2ccc(OCc3ccccc3)cc2)c1', 'O=C(Cn1cc(COc2cccc(Cl)c2)nn1)Nc1ccccc1C(=O)O']
   810   -1.7380   -0.173  0.052   0.075  0.248   2.228  2.634   100.0  100.0     0.891    0.0     66.7    74     24  0.321   0.99
   820   -5.3549   -0.180  0.052   0.079  0.244   1.708  0.780    98.4  100.0     0.857    0.8     91.7    75     25  0.310   0.98
   830   -3.8172   -0.167  0.052   0.066  0.234   2.339  0.231   100.0  100.0     0.844    0.0     83.3    75     25  0.302   1.02
   840   -2.0951   -0.152  0.052   0.063  0.215   3.156  0.231   100.0  100.0     0.773    0.8    100.0    76     25  0.280   1.03
   850   -1.2168   -0.168  0.032   0.055  0.215   3.253  0.231    99.2  100.0     0.803    0.0     75.0    76     25  0.262   0.98
   860   -0.6968   -0.160  0.032   0.062  0.222   3.370  0.231   100.0  100.0     0.758    0.0     91.7    76     25  0.301   0.99
   870   -0.4476   -0.163  0.032   0.063  0.226   3.120  0.231   100.0  100.0     0.805    0.0    100.0    76     25  0.251   0.94
   880   -0.3280   -0.163  0.032   0.062  0.225   2.820  0.231   100.0  100.0     0.805    0.0    100.0    77     25  0.256   1.03
   890   -0.2142   -0.175  0.032   0.072  0.247   2.634  0.231   100.0  100.0     0.906    0.0     83.3    77     25  0.267   0.98
   900   -0.1650   -0.171  0.013   0.074  0.237   2.541  0.231    99.2  100.0     0.898    0.8    100.0    79     26  0.270   0.99
   910   -0.2741   -0.171  0.013   0.068  0.238   2.310  0.154   100.0  100.0     0.906    0.0     75.0    79     26  0.256   1.02
   920   -0.2094   -0.160  0.013   0.074  0.234   2.070  0.154   100.0  100.0     0.820    0.8    100.0    80     26  0.279   1.07
   930   -0.2001   -0.170  0.013   0.069  0.239   2.007  0.103   100.0  100.0     0.914    0.0     83.3    80     26  0.273   1.14
   940   -0.2600   -0.172  0.013   0.076  0.248   1.936  0.014   100.0  100.0     0.859    0.0     83.3    80     26  0.259   1.13
   950   -0.1789   -0.172 -0.004   0.067  0.240   2.092  0.004   100.0  100.0     0.859    0.0    100.0    80     26  0.267   1.15
   960   -0.1065   -0.169 -0.004   0.067  0.237   2.168  0.002   100.0  100.0     0.820    0.0    100.0    80     26  0.252   1.15
   970   -0.0714   -0.155 -0.004   0.084  0.239   2.181  0.002   100.0  100.0     0.844    1.6    100.0    82     27  0.276   1.13
   980   -0.0349   -0.166 -0.004   0.083  0.240   2.206  0.002    99.2  100.0     0.898    1.6    100.0    83     27  0.231   0.94
   990   -0.0157   -0.162 -0.004   0.077  0.239   2.146  0.002   100.0  100.0     0.836    0.8    100.0    83     27  0.224   0.80
      TL @ step 1000: 88 mols, 2/2 epochs, nll 0.241, kl_after 2.22
  1000   -0.0587   -0.118 -0.019   0.103  0.221   2.424  0.002   100.0   97.7     0.840    4.7    100.0    88     27  0.237   0.86
      saved checkpoint @ step 1000 | examples: ['Cc1ccc(S(=O)(=O)N(CCCCCCN2CCN(c3ccccc3)CC2)CC(=O)O)cc1', 'COC(=O)c1ccc(/C=C/C(=O)NCCCCCCS)cc1', 'O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CCCCC2)c(-c2cncnc2)c1', 'Cc1ccc(/C=C/C(=O)c2cccs2)cc1', 'COc1ccccc1CNc1ccc(CN2CCCCC2)cc1']
  1010   -0.0660   -0.084 -0.019   0.143  0.227   2.562  0.002   100.0   94.5     0.835    8.6    100.0    90     27  0.250   0.88
  1020   -0.1196    0.018 -0.019   0.238  0.220   4.164  0.003   100.0   85.9     0.782   20.3    100.0    94     27  0.249   1.42
  1030    0.3695    0.224 -0.019   0.418  0.194   6.522  0.103   100.0   64.1     0.756   39.8    100.0    96     27  0.243   1.00
  1040   58.9077   -0.360 -0.019   0.056  0.182  13.939  5.926    76.6  100.0     0.816    0.0     91.7   104     31  0.390   0.68
  1050   55.2498   -0.277 -0.032   0.062  0.214   8.770 20.000    87.5   99.1     0.883    0.0     66.7   105     31  0.605   1.07
  1060  -41.1206   -0.182 -0.032   0.062  0.229   2.884 20.000    98.4  100.0     0.849    0.8     83.3   105     31  0.693   1.16
  1070  -55.9093   -0.170 -0.032   0.067  0.237   1.921 13.333   100.0  100.0     0.883    0.0     91.7   105     31  0.716   1.06
  1080  -29.0091   -0.184 -0.032   0.059  0.219   3.350  8.889    97.7  100.0     0.840    0.0     91.7   105     31  0.842   1.03
  1090  -20.8478   -0.169 -0.032   0.062  0.223   2.721  8.889    99.2  100.0     0.819    0.8     91.7   105     31  0.702   1.06
  1100  -15.2940   -0.164 -0.044   0.067  0.231   2.418  8.889   100.0  100.0     0.820    0.8    100.0   105     31  0.610   1.08
  1110  -10.2736   -0.167 -0.044   0.066  0.233   2.407  8.889   100.0   99.2     0.780    0.0    100.0   106     31  0.518   1.10
  1120  -14.8653   -0.171 -0.044   0.075  0.246   2.159  5.926   100.0  100.0     0.867    0.0    100.0   106     31  0.434   1.03
  1130  -11.2781   -0.164 -0.044   0.063  0.227   2.354  3.951   100.0  100.0     0.789    0.0     83.3   106     31  0.408   1.11
  1140   -6.4905   -0.169 -0.044   0.057  0.218   2.483  3.951    99.2  100.0     0.819    0.8    100.0   106     31  0.370   1.05
  1150   -4.3019   -0.173 -0.055   0.072  0.237   2.469  3.951    99.2  100.0     0.858    0.8     91.7   106     31  0.350   1.17
  1160   -3.7310   -0.173 -0.055   0.071  0.243   2.213  3.951   100.0  100.0     0.820    0.0    100.0   106     31  0.409   1.12
  1170   -2.6998   -0.170 -0.055   0.069  0.240   2.128  3.951   100.0  100.0     0.828    0.0     91.7   106     31  0.375   1.21
  1180   -5.7619   -0.171 -0.055   0.077  0.241   2.225  1.171    99.2  100.0     0.843    1.6    100.0   106     31  0.379   1.10
  1190   -2.8456   -0.172 -0.055   0.071  0.243   2.698  1.171   100.0  100.0     0.820    0.0     91.7   106     31  0.322   0.71
  1200   -1.8871   -0.161 -0.066   0.070  0.231   2.529  1.171   100.0  100.0     0.805    2.3    100.0   106     31  0.327   0.84
      saved checkpoint @ step 1200 | examples: ['O=C(Nc1cc(Cl)cc(Cl)c1)c1ccccc1', 'O=C(CC1CCCC1)N1CCC2CCCCC21', 'CC(O)c1ccccc1', 'O=C(Nc1nc2ccccc2[nH]1)c1ccc([N+](=O)[O-])cc1', 'Fc1ccc(CNCCNCc2cccc(-n3cccn3)c2)cc1']
  1210   -1.5136   -0.163 -0.066   0.061  0.224   2.178  1.171   100.0  100.0     0.852    3.1    100.0   106     31  0.344   0.99
  1220   -0.9063   -0.159 -0.066   0.069  0.228   2.243  1.171   100.0  100.0     0.883    1.6    100.0   106     31  0.325   1.03
  1230   -1.4439   -0.172 -0.066   0.068  0.240   2.012  0.780   100.0  100.0     0.844    0.0    100.0   106     31  0.326   1.00
  1240   -1.5118   -0.171 -0.066   0.068  0.239   2.175  0.347   100.0  100.0     0.836    0.8     91.7   106     31  0.309   1.01
  1250   -0.7735   -0.171 -0.075   0.066  0.238   2.487  0.347   100.0  100.0     0.844    0.8    100.0   106     31  0.329   1.00
  1260   -0.5458   -0.174 -0.075   0.074  0.248   2.207  0.347   100.0  100.0     0.828    0.0    100.0   106     31  0.315   0.99
  1270   -0.7596   -0.174 -0.075   0.073  0.247   2.175  0.103   100.0  100.0     0.891    0.0     83.3   106     31  0.315   0.98
  1280   -0.5667   -0.174 -0.075   0.073  0.247   2.082  0.030   100.0  100.0     0.875    0.0    100.0   106     31  0.278   0.99
  1290   -0.3770   -0.166 -0.075   0.063  0.229   1.990  0.006   100.0  100.0     0.766    0.0     91.7   106     31  0.328   1.04
  1300   -0.2138   -0.178 -0.083   0.071  0.241   2.058  0.006    99.2  100.0     0.748    1.6     91.7   106     31  0.278   1.01
  1310   -0.1301   -0.170 -0.083   0.069  0.240   2.231  0.003   100.0  100.0     0.828    1.6     75.0   106     31  0.291   1.05
  1320   -0.0706   -0.168 -0.083   0.070  0.239   2.208  0.003   100.0  100.0     0.844    1.6    100.0   106     31  0.301   1.00
  1330   -0.0393   -0.168 -0.083   0.068  0.236   2.160  0.001   100.0  100.0     0.773    3.1    100.0   106     31  0.297   1.01
  1340   -0.0244   -0.163 -0.083   0.062  0.225   2.069  0.001   100.0  100.0     0.844    0.8     91.7   107     31  0.277   0.73
  1350   -0.0200   -0.161 -0.090   0.060  0.221   2.458  0.001   100.0  100.0     0.766    3.9     83.3   108     32  0.256   0.75
  1360   -0.0025   -0.170 -0.090   0.063  0.225   2.202  0.001    99.2  100.0     0.803    3.9    100.0   108     32  0.258   0.78
  1370    0.0032   -0.165 -0.090   0.063  0.228   2.399  0.001   100.0  100.0     0.812    2.3     75.0   108     32  0.269   0.66
  1380   -0.0006   -0.159 -0.090   0.054  0.212   2.355  0.001   100.0  100.0     0.766    4.7    100.0   108     32  0.254   0.92
  1390    0.0081   -0.165 -0.090   0.060  0.225   2.477  0.001   100.0  100.0     0.828    7.0    100.0   108     32  0.247   0.98
  1400    0.0038   -0.163 -0.096   0.059  0.222   2.653  0.001   100.0  100.0     0.773    1.6     83.3   109     32  0.257   0.91
      saved checkpoint @ step 1400 | examples: ['CCCCCCCCCCCCSCC(=O)O', 'O=C(c1ccccc1)N1CCN(c2ccccn2)CC1', 'CCOC(=O)C1=C(C)NC(=O)NC1c1cccc2ccccc12', 'CN(C)C(O)COCc1ccccc1', 'O=C(c1ccccc1)N1CC(O)C(F)(F)C1']
  1410    0.0109   -0.169 -0.096   0.059  0.220   2.469  0.001    99.2  100.0     0.811    3.9     91.7   109     32  0.267   0.96
  1420    0.0023   -0.157 -0.096   0.076  0.225   2.746  0.001    99.2  100.0     0.835    6.2     91.7   110     32  0.277   0.95
  1430   -0.0036   -0.148 -0.096   0.062  0.211   2.791  0.001   100.0  100.0     0.789    7.8     91.7   110     32  0.243   1.05
  1440    0.0034   -0.154 -0.096   0.068  0.213   2.590  0.001    99.2   99.2     0.746    7.8    100.0   110     32  0.236   0.97
  1450    0.0107   -0.163 -0.101   0.060  0.215   2.656  0.001    99.2  100.0     0.756    7.8     91.7   111     32  0.225   0.91
  1460   -0.0087   -0.137 -0.101   0.090  0.211   3.113  0.001    98.4   98.4     0.806    9.4     91.7   111     32  0.246   0.88
  1470   -0.0704   -0.045 -0.101   0.160  0.205   3.591  0.001   100.0   92.2     0.746   17.2    100.0   111     32  0.284   0.99
  1480   -0.0602    0.103 -0.101   0.318  0.207   6.024  0.017    99.2   78.0     0.657   36.7    100.0   112     33  0.270   0.95
  1490    4.5422    0.070 -0.101   0.318  0.232   6.519  0.985    98.4   89.7     0.637   39.1    100.0   117     36  0.257   0.98
      TL @ step 1500: 118 mols, 1/2 epochs, nll 0.502, kl_after 12.16 ABORTED (kl tripwire)
  1500  196.6105   -0.304 -0.102   0.060  0.192  15.708 20.000    82.8  100.0     0.840    4.7     66.7   118     37  0.528   0.92
  1510  -22.2738   -0.197 -0.102   0.069  0.234   4.632 20.000    96.9  100.0     0.879    3.1     83.3   118     37  0.462   1.07
  1520  -38.2979   -0.181 -0.102   0.078  0.235   2.843 20.000    97.7  100.0     0.904    2.3    100.0   118     37  0.490   1.06
  1530  -25.6096   -0.161 -0.102   0.066  0.227   2.511 20.000   100.0  100.0     0.836    7.8    100.0   119     37  0.504   1.00
  1540  -26.8747   -0.183 -0.102   0.073  0.248   2.034 20.000    99.2  100.0     0.866    1.6     91.7   119     37  0.404   1.00
  1550  -16.1379   -0.172 -0.108   0.067  0.239   2.118 20.000   100.0  100.0     0.867    3.9     91.7   119     37  0.417   0.99
  1560  -28.6362   -0.170 -0.108   0.069  0.239   1.872 13.333   100.0  100.0     0.820    4.7    100.0   119     37  0.418   1.05
  1570  -20.0657   -0.176 -0.108   0.069  0.237   2.399  8.889    99.2  100.0     0.827    5.5    100.0   119     37  0.439   0.92
  1580  -13.4008   -0.176 -0.108   0.067  0.235   2.220  8.889    99.2  100.0     0.882    4.7    100.0   119     37  0.449   0.94
  1590  -10.5376   -0.180 -0.108   0.075  0.247   2.009  8.889    99.2  100.0     0.898    4.7     91.7   119     37  0.458   0.96
  1600   -6.3025   -0.174 -0.113   0.074  0.249   2.096  8.889   100.0  100.0     0.898    3.9     91.7   119     37  0.357   0.94
      saved checkpoint @ step 1600 | examples: ['CSc1nc2ccccc2n1CC(=O)NCCCc1cccnc1', 'CC(=O)Nc1ccc(NC(=O)CSCc2ccccc2F)cc1', 'CS(=O)(=O)Nc1ccc(S(=O)(=O)NCC(=O)N2CCN(C(=O)c3ccccc3Br)CC2)cc1', 'N#Cc1ccc(O)nc1', 'COc1ccc(C(=O)Nc2cccnc2)cc1OCC1CCC1']
  1610  -15.5826   -0.175 -0.113   0.069  0.235   2.402  1.756    99.2  100.0     0.874    3.9    100.0   119     37  0.372   0.96
  1620   -9.1323   -0.174 -0.113   0.059  0.225   2.435  1.756    99.2  100.0     0.858    3.9     91.7   119     37  0.346   0.96
  1630   -4.6913   -0.167 -0.113   0.061  0.221   2.967  1.756    99.2  100.0     0.803    8.6    100.0   119     37  0.380   0.98
