loading policy + frozen prior...
config: {'steps': 5000, 'batch': 128, 'lr': 0.0001, 'max_len': 100, 'temp': 1.0, 'beta_kl': 0.02, 'target_kl': 3.0, 'beta_kl_min': 0.001, 'beta_kl_max': 20.0, 'kl_adapt_factor': 1.5, 'ppo_epochs': 4, 'clip_eps': 0.2, 'lambda_unc': 1.0, 'baseline_momentum': 0.95, 'threshold_window_batches': 20, 'threshold_percentile': 70.0, 'threshold_update_every': 50, 'threshold_init': 0.0, 'threshold_decay': 0.1, 'diversity_filter': False, 'df_bucket_size': 25, 'df_mode': 'generic', 'df_record_threshold': 0.5, 'replay': False, 'replay_capacity': 1000, 'replay_max_per_scaffold': 10, 'replay_min_reward': 0.4, 'replay_k': 24, 'replay_coef': 0.05, 'replay_start': 200, 'transfer_learning': True, 'tl_every': 500, 'tl_start': 1000, 'tl_epochs': 2, 'tl_batch': 128, 'tl_max_mols': 500, 'tl_min_mols': 50, 'tl_lr': 1e-05, 'tl_max_kl': 8.0, 'log_every': 10, 'save_every': 200, 'out': 'checkpoints/rl_v5a', 'seed': 42}
reward model scheme=A_primary threshold=8.0 lambda_unc=1.0 invalid_reward=-1.0

  step      loss   reward    tau   p_act    unc      kl   beta  valid%  uniq% scaf/uniq  >tau% AD%(top)   buf  bscaf   rnll    sec
   340   -0.0794   -0.139 -0.059   0.045  0.183   2.419  0.001   100.0   99.2     0.748    5.5     91.7     3      2  0.000   1.27
   350   -0.0549   -0.138 -0.065   0.034  0.156   3.537  0.001    98.4   99.2     0.600   17.2    100.0     3      2  0.000   0.87
   360   -0.0363   -0.113 -0.065   0.029  0.142   4.844  0.003   100.0   93.0     0.513   25.0    100.0     3      2  0.000   0.81
   370    0.4338   -0.106 -0.065   0.027  0.133   4.921  0.130   100.0   94.5     0.521   28.1    100.0     4      2  0.000   1.05
   380   -0.1430   -0.177 -0.065   0.065  0.226   1.555  0.026    98.4  100.0     0.786    3.1    100.0     4      2  0.000   0.93
   390   -0.1307   -0.156 -0.065   0.063  0.212   1.773  0.001    99.2   99.2     0.794    3.9     83.3     4      2  0.000   0.94
   400   -0.0871   -0.153 -0.073   0.054  0.192   2.606  0.001    98.4   99.2     0.688    8.6     91.7     4      2  0.000   0.92
      saved checkpoint @ step 400 | examples: ['O=C(CCCc1ccccc1)c1ccc(F)cc1', 'CCCCCCCCCCCCCC(=O)O', 'O=c1c2cccc[n+]2ccn1CCCO', 'Nc1nc(Cl)cc(NCCc2ccccc2)n1', 'Cc1ccc(/C=N/NC(=O)c2cccnc2)o1']
   410   -0.0545   -0.145 -0.073   0.049  0.186   2.825  0.001    99.2   98.4     0.720    9.4    100.0     4      2  0.000   0.98
   420   -0.0546   -0.115 -0.073   0.062  0.169   4.236  0.001    99.2   93.7     0.622   23.4     91.7     4      2  0.000   0.73
   430    0.0217    0.021 -0.073   0.303  0.274   7.592  0.026    99.2   58.3     0.703   53.1    100.0     4      2  0.000   0.80
   440    1.0894   -0.150 -0.073   0.057  0.192   3.402  0.657    98.4   98.4     0.677   14.1    100.0     8      5  0.000   0.67
   450   -0.7599   -0.202 -0.076   0.068  0.231   1.948  0.086    96.1  100.0     0.911    2.3     66.7     8      5  0.000   0.82
   460   -0.5938   -0.170 -0.076   0.054  0.208   2.297  0.005    98.4  100.0     0.802    3.9    100.0     8      5  0.000   1.08
   470   -0.3613   -0.145 -0.076   0.047  0.192   3.256  0.005   100.0   99.2     0.764   10.9    100.0     8      5  0.000   1.03
   480   -0.2166   -0.136 -0.076   0.045  0.181   3.617  0.005   100.0   99.2     0.740   10.9     83.3     8      5  0.000   1.01
   490   -0.1252   -0.136 -0.076   0.037  0.173   4.114  0.005   100.0   98.4     0.651   13.3     91.7     8      5  0.000   0.99
   500   -0.0520   -0.129 -0.080   0.031  0.152   4.855  0.011    99.2   96.9     0.634   23.4    100.0     8      5  0.000   0.98
   510    0.2172   -0.126 -0.080   0.035  0.161   4.532  0.086   100.0   96.9     0.629   19.5    100.0     8      5  0.000   0.92
   520    0.0248   -0.147 -0.080   0.047  0.194   2.635  0.086   100.0  100.0     0.727    8.6     91.7     8      5  0.000   0.88
   530   -0.0739   -0.158 -0.080   0.065  0.215   2.045  0.058    99.2  100.0     0.795    3.9    100.0     8      5  0.000   1.05
   540   -0.1118   -0.164 -0.080   0.067  0.231   1.887  0.008   100.0  100.0     0.773    3.1     91.7     8      5  0.000   1.01
   550   -0.0876   -0.153 -0.087   0.051  0.204   2.272  0.003   100.0  100.0     0.852    7.0     83.3     8      5  0.000   0.97
   560   -0.0515   -0.153 -0.087   0.045  0.190   2.863  0.003    99.2  100.0     0.724   10.2     91.7     8      5  0.000   0.93
   570   -0.0303   -0.152 -0.087   0.044  0.188   2.850  0.003    99.2  100.0     0.732    8.6     83.3     9      5  0.000   0.97
