loading policy + frozen prior...
config: {'steps': 5000, 'batch': 128, 'lr': 0.0001, 'max_len': 100, 'temp': 1.0, 'beta_kl': 0.02, 'target_kl': 3.0, 'beta_kl_min': 0.001, 'beta_kl_max': 20.0, 'kl_adapt_factor': 1.5, 'ppo_epochs': 4, 'clip_eps': 0.2, 'lambda_unc': 1.0, 'baseline_momentum': 0.95, 'threshold_window_batches': 20, 'threshold_percentile': 70.0, 'threshold_update_every': 50, 'threshold_init': 0.0, 'log_every': 20, 'save_every': 250, 'out': 'checkpoints/rl_baseline_v3', 'seed': 42}
reward model scheme=A_primary threshold=8.0 lambda_unc=1.0 invalid_reward=-1.0

  step      loss   reward    tau   p_act    unc      kl   beta  valid%  uniq% scaf/uniq  >tau% AD%(top)    sec
   780   -0.0830   -0.141  0.000   0.044  0.185   2.718  0.005   100.0  100.0     0.758    0.0    100.0   0.45
   800   -0.0438   -0.117  0.000   0.033  0.150   3.894  0.005   100.0   98.4     0.603    0.0     91.7   0.44
   820    0.0788   -0.117  0.000   0.029  0.146   4.083  0.038   100.0   95.3     0.590    0.0    100.0   0.44
   840    0.0015   -0.139  0.000   0.041  0.180   2.590  0.038   100.0  100.0     0.750    0.0     83.3   0.44
   860   -0.0004   -0.149  0.000   0.044  0.185   2.464  0.038    99.2   99.2     0.746    0.0     91.7   0.44
   880   -0.0519   -0.139  0.000   0.046  0.185   2.429  0.005   100.0  100.0     0.719    0.0    100.0   0.48
   900   -0.0346   -0.115  0.000   0.030  0.145   3.678  0.005   100.0   98.4     0.595    0.0     83.3   0.44
   920    0.1010   -0.109  0.000   0.023  0.125   4.353  0.038    99.2   96.1     0.459    0.0     91.7   0.43
   940   -0.1069   -0.169  0.000   0.050  0.203   2.156  0.017    98.4  100.0     0.833    0.0     83.3   0.46
   960   -0.0638   -0.141  0.000   0.038  0.171   2.778  0.002    99.2   99.2     0.714    0.0    100.0   0.45
   980   -0.0332   -0.117  0.000   0.026  0.135   4.337  0.002    99.2   97.6     0.556    0.0     91.7   0.45
  1000    0.0611   -0.143  0.000   0.045  0.188   2.539  0.086   100.0  100.0     0.734    0.0     91.7   0.45
      saved checkpoint @ step 1000 | examples: ['NS(=O)(=O)c1ccc(-n2ccnc2)cc1', 'O=S(=O)(Nc1ccc(CCN/C(S)=N/c2ccccc2)cc1)c1ccccc1', 'N#CCC(=O)NCc1ccc(O)cc1', 'CCCc1cc(O)nc(SCC(=O)c2ccc(OC)cc2)n1', 'N#C/N=C(/NCCCCCc1ccccc1)Nc1ccccc1']
  1020   -0.0843   -0.148  0.000   0.047  0.187   2.587  0.005    99.2   99.2     0.675    0.0     91.7   0.48
  1040   -0.0467   -0.113  0.000   0.026  0.140   3.924  0.005   100.0  100.0     0.562    0.0     91.7   0.47
  1060    0.0810   -0.102  0.000   0.024  0.126   4.430  0.038   100.0   94.5     0.562    0.0    100.0   0.44
  1080    0.0081   -0.130  0.000   0.034  0.163   2.853  0.038   100.0  100.0     0.648    0.0     91.7   0.44
  1100   -0.0308   -0.144  0.000   0.046  0.189   2.095  0.026   100.0  100.0     0.773    0.0     91.7   0.47
  1120   -0.0260   -0.141  0.000   0.042  0.184   2.290  0.017   100.0   99.2     0.709    0.0    100.0   0.47
  1140   -0.0132   -0.133  0.000   0.040  0.173   2.705  0.017   100.0   98.4     0.698    0.0     91.7   0.45
  1160   -0.0065   -0.132  0.000   0.039  0.172   2.766  0.017   100.0   99.2     0.654    0.0     91.7   0.45
  1180   -0.0097   -0.116  0.000   0.034  0.150   3.331  0.017   100.0   96.9     0.581    0.0     91.7   0.47
  1200   -0.0084   -0.095  0.000   0.026  0.121   4.337  0.017   100.0   93.0     0.496    0.0    100.0   0.45
  1220    0.0090   -0.119  0.000   0.032  0.150   3.160  0.026   100.0   98.4     0.627    0.0     91.7   0.45
  1240    0.0109   -0.132  0.000   0.038  0.162   3.111  0.026    99.2   97.6     0.629    0.0     91.7   0.46
      saved checkpoint @ step 1250 | examples: ['c1ccc(CNc2nnc(-c3cc4ccccc4[nH]3)o2)cc1', 'O=C(O)c1ccccc1Nc1cccc(S(=O)(=O)NC(Cc2ccccc2)c2ccccc2)c1', 'COc1ccc(/C=C/c2ccc(O)c(C)c2)cc1', 'NNC(=O)Cc1ccc(N)cn1', 'Nc1ccc(NC(=O)[C@@H]2CCCO2)cc1Cl']
  1260   -0.0004   -0.124  0.000   0.040  0.164   3.080  0.026   100.0   98.4     0.603    0.0    100.0   0.47
  1280   -0.0172   -0.155  0.000   0.053  0.199   1.836  0.017    99.2  100.0     0.780    0.0     91.7   0.51
  1300   -0.0128   -0.111  0.000   0.037  0.148   3.578  0.017   100.0   96.1     0.561    0.0    100.0   0.46
  1320   -0.0113   -0.098  0.000   0.031  0.130   3.984  0.017   100.0   96.1     0.504    0.8    100.0   0.47
  1340    0.0058   -0.101  0.000   0.046  0.147   3.735  0.026   100.0   96.9     0.556    2.3    100.0   0.46
  1360   -0.0089   -0.094  0.000   0.080  0.174   3.642  0.026   100.0   91.4     0.632    7.8    100.0   0.46
  1380   -0.0258   -0.061  0.000   0.163  0.224   4.116  0.026   100.0   92.2     0.644   21.1    100.0   0.48
  1400   -0.0292   -0.145  0.000   0.086  0.231   1.770  0.038   100.0  100.0     0.852    3.9    100.0   0.49
  1420    0.2549   -0.031  0.000   0.261  0.293   4.214  0.130   100.0   95.3     0.582   33.6    100.0   0.49
  1440   -0.1291   -0.079  0.000   0.173  0.251   3.276  0.008   100.0   95.3     0.730   19.5    100.0   0.47
  1460   -0.2394   -0.173  0.000   0.056  0.213   1.784  0.026    98.4  100.0     0.817    0.0    100.0   0.48
  1480   -0.1520   -0.102  0.000   0.099  0.201   3.395  0.002   100.0   96.1     0.756    9.4    100.0   0.46
  1500    0.5751   -0.079  0.000   0.169  0.248   3.518  0.292   100.0   93.8     0.792   19.5    100.0   0.46
      saved checkpoint @ step 1500 | examples: ['O=C(O)CCc1ccc(CNc2cccc(C(F)(F)F)c2)cc1', 'OB(O)c1cccc2ccccc12', 'O=C(O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1', 'c1ccc(NCCCNCc2ccco2)cc1', 'O=C(O)c1cc(-c2ccco2)on1']
  1520   -0.2555   -0.165  0.000   0.058  0.216   1.820  0.011    99.2  100.0     0.835    0.0     83.3   0.46
  1540   -0.1015   -0.145  0.000   0.045  0.189   3.014  0.005   100.0  100.0     0.711    0.0    100.0   0.46
  1560   -0.0357   -0.136  0.000   0.041  0.177   3.551  0.005   100.0  100.0     0.648    0.0    100.0   0.44
  1580    0.1600   -0.119  0.000   0.030  0.141   4.537  0.058    99.2   92.9     0.500    0.0    100.0   0.42
  1600   -0.0071   -0.148  0.000   0.055  0.203   2.053  0.058   100.0   99.2     0.835    0.8     91.7   0.46
  1620   -0.0599   -0.169  0.000   0.056  0.208   1.938  0.003    98.4  100.0     0.794    0.0    100.0   0.47
  1640   -0.0223   -0.151  0.000   0.035  0.163   2.961  0.002    97.7  100.0     0.696    0.0     75.0   0.43
  1660   -0.0519   -0.076  0.000   0.077  0.153   4.442  0.003   100.0   93.0     0.538    6.2    100.0   0.43
  1680    0.1711   -0.183  0.000   0.065  0.217   2.600  0.195    96.9  100.0     0.798    0.8    100.0   0.46
  1700   -0.1971   -0.153  0.000   0.050  0.202   1.978  0.001   100.0  100.0     0.828    0.0    100.0   0.47
  1720   -0.0698   -0.142  0.000   0.044  0.187   2.715  0.001   100.0  100.0     0.719    0.0     91.7   0.45
  1740   -0.0439   -0.110  0.000   0.047  0.157   4.098  0.001   100.0   96.1     0.610    2.3     91.7   0.44
      saved checkpoint @ step 1750 | examples: ['c1ccc(-c2ccc(CN3CCCCCC3)cc2)cc1', 'O=C(O)c1ccccc1', 'CC(=O)Oc1ccccc1C(N)=O', 'O=C(O)c1ccccc1', 'O=C(Nc1ccccc1)Nc1ccc(Cl)cc1']
  1760    0.1363   -0.133  0.000   0.051  0.185   2.782  0.130   100.0  100.0     0.695    0.8     83.3   0.45
  1780   -0.1475   -0.153  0.000   0.063  0.216   1.891  0.005   100.0  100.0     0.867    0.8     75.0   0.46
  1800   -0.0453   -0.159  0.000   0.047  0.183   3.076  0.001    97.7  100.0     0.816    0.8     91.7   0.47
  1820   -0.1472    0.012  0.000   0.212  0.192   5.760  0.003    99.2   76.4     0.660   22.7    100.0   0.44
  1840   54.1697   -0.221  0.000   0.059  0.210   7.137 11.223    93.0  100.0     0.866    0.0     83.3   0.48
  1860  -37.9507   -0.179  0.000   0.056  0.211   3.153 13.333    97.7  100.0     0.912    0.0     83.3   0.44
  1880  -17.2070   -0.155  0.000   0.053  0.208   2.848 13.333   100.0  100.0     0.828    0.0    100.0   0.45
  1900  -14.0624   -0.169  0.000   0.064  0.233   2.105 13.333   100.0  100.0     0.883    0.0     83.3   0.45
  1920  -11.0357   -0.167  0.000   0.068  0.235   2.085  8.889   100.0  100.0     0.898    0.0     91.7   0.45
  1940   -7.2887   -0.172  0.000   0.055  0.212   2.755  3.951    98.4  100.0     0.817    0.0     91.7   0.44
  1960   -5.1558   -0.167  0.000   0.066  0.233   2.076  3.951   100.0  100.0     0.844    0.0     91.7   0.45
  1980   -4.9081   -0.171  0.000   0.064  0.228   2.071  1.756    99.2  100.0     0.890    0.0    100.0   0.46
  2000   -4.2762   -0.166  0.000   0.070  0.236   1.964  0.780   100.0  100.0     0.844    0.0     91.7   0.46
